Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Sudden Appearance,Overlapping,Repeated Collision,Unreal Pedes Col,Done
1,"[-9.32628632e+01  1.02044849e+01 -1.41619003e+02  0.00000000e+00
  1.90000000e+01  1.00000000e+00 -4.19565322e-06  2.49621277e+02
  4.25951640e-07  2.70429641e-05  4.00000000e+00  4.12803101e+00
  0.00000000e+00  1.34865494e+00 -1.21511969e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",16,by model,0.174394,No collision,"[0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394]",False,False,False,False,False
1,"[-9.32628632e+01  1.02044859e+01 -1.41619003e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00 -9.19366187e-07  2.49621277e+02
  2.44395301e-06  3.56515766e-05  5.00000000e+00  4.12803101e+00
  0.00000000e+00  1.34865494e+00 -1.21511969e+00  5.65977999e+01
  1.72371299e+00  9.99990379e+00  2.16942659e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",37,by model,0.174394,No collision,"[0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394]",False,False,False,False,False
1,"[-9.32628632e+01  1.02044859e+01 -1.41619003e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  1.50398751e-06  2.49621277e+02
  5.68867836e-06  1.36610867e-05  6.00000000e+00  4.12803101e+00
  0.00000000e+00  1.34865494e+00 -1.21511969e+00  6.97949231e+01
  1.72956965e+00  0.00000000e+00  2.16953688e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",37,by model,0.174394,No collision,"[0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394]",False,False,False,False,False
1,"[-9.32628632e+01  1.02044859e+01 -1.41619003e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00 -1.67375197e-06  2.49621277e+02
  1.65947154e-06  6.10044540e-06  7.00000000e+00  4.12803101e+00
  0.00000000e+00  1.34865494e+00 -1.21511969e+00  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",17,by model,0.174394,No collision,"[0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394]",False,False,False,False,False
1,"[-9.32628632e+01  1.02044859e+01 -1.41619003e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00 -1.14801207e-06  2.49621277e+02
  2.02501292e-06  3.51694865e-06  8.00000000e+00  4.12803101e+00
  0.00000000e+00  1.34865494e+00 -1.21511969e+00  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",17,by model,0.174394,No collision,"[0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394]",False,False,False,False,True
2,"[-6.70079422e+01  1.02044563e+01 -1.14669342e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  3.59949890e+02  2.23914719e+02
 -1.81775482e-03  5.03420705e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  1.65377453e+00 -7.66467002e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.04025590e+01
  0.00000000e+00  1.00000000e+02  1.90538299e-01  1.57051536e+00]",13,by model,0.875985,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.093864, 0.489116, 0.770354, 0.875985, 0.667096]",False,False,False,False,False
2,"[-9.70254593e+01  1.02035704e+01 -1.46862000e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  3.55040133e-02  2.23622803e+02
  5.38253412e-02  8.18889755e+00  1.00000000e+00  5.38499167e+00
  0.00000000e+00  1.34843889e+00 -7.61603328e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.45000000e+01  1.00000000e+02 -1.64842399e+00 -2.51345681e-01]",44,by model,0.301458,No collision,"[0.301458, 0.0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
2,"[-1.20439987e+02  1.02041454e+01 -1.52916122e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  3.59918610e+02  3.07132507e+02
  1.03638813e-01  4.54979135e+00  1.00000000e+00  2.65158792e+01
  0.00000000e+00  1.34915057e+00  9.22235137e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.18867207e+01
  0.00000000e+00  1.00000000e+02 -8.87653075e+00  1.44319853e+00]",21,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
2,"[-1.49623260e+02  1.02041616e+01 -1.25450859e+02  0.00000000e+00
  1.90000000e+01  1.00000000e+00  5.97350672e-03  3.14246948e+02
 -5.27503621e-03  5.67729270e+00  2.00000000e+00  2.01211679e+01
  9.98378872e+00  1.34862188e+00  7.98567301e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  5.10633300e+01
  0.00000000e+00  1.00000000e+02  3.39803629e-01  2.77556251e+00]",16,by model,1,BoxTruck(Clone)fda03175-6b3a-4ff8-af04-2665f3ce87c5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",False,False,False,False,False
2,"[-1.70992432e+02  1.02012978e+01 -1.04739433e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  3.59923981e+02  3.14514801e+02
  3.59849854e+02  1.39704492e-03  3.00000000e+00  7.56918841e+00
  1.01376970e-03  1.34911712e+00  7.94551456e-01  1.69232152e+01
  1.23849644e-01  0.00000000e+00  9.86493227e+00  3.55216037e+01
  0.00000000e+00  1.00000000e+02 -4.32204208e-01  2.96220605e-01]",0,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
2,"[-1.70993607e+02  1.02002096e+01 -1.04736969e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  3.59988922e+02  3.14704193e+02
  3.59900665e+02  8.01006645e-04  3.00000000e+00  7.56524886e+00
  9.53674316e-04  1.34872042e+00  7.91014107e-01  1.08238685e+01
  1.03224411e-01  0.00000000e+00  9.85260243e+00  3.55687057e+01
  0.00000000e+00  1.00000000e+02 -4.32204208e-01  2.96806855e-01]",33,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
2,"[-1.70993652e+02  1.01991196e+01 -1.04733307e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  5.54967076e-02  3.14905182e+02
  3.59968506e+02  9.38457344e-04  4.00000000e+00  7.56132824e+00
  1.90973133e-03  1.34830751e+00  7.87194685e-01  1.80695145e+01
  1.23566224e-01  0.00000000e+00  9.85976103e+00  3.55759679e+01
  0.00000000e+00  1.00000000e+02 -4.32204208e-01  2.96891112e-01]",21,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
2,"[-1.70993317e+02  1.01984148e+01 -1.04730965e+02  0.00000000e+00
  1.90000000e+01  1.00000000e+00  9.82805938e-02  3.15098999e+02
  3.59984589e+02  1.10964424e-03  5.00000000e+00  7.55877230e+00
  1.85170058e-03  1.34804284e+00  7.83741358e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  9.87307751e+01
  0.00000000e+00  1.00000000e+02 -4.32204208e-01  2.79761926e+00]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
2,"[-1.70992798e+02  1.01981192e+01 -1.04729416e+02  0.00000000e+00
  1.90000000e+01  1.00000000e+00  1.22692414e-01  3.15256653e+02
  3.59957642e+02  1.41790493e-03  6.00000000e+00  7.55762950e+00
  6.67572021e-04  1.34789155e+00  7.81107582e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  9.52867154e+01
  0.00000000e+00  1.00000000e+02 -4.32204208e-01  2.46151905e+00]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
2,"[-1.70998962e+02  1.01959991e+01 -1.04721436e+02  0.00000000e+00
  1.90000000e+01  0.00000000e+00  3.59786438e+02  3.15442383e+02
  3.59759674e+02  4.67552445e-03  6.00000000e+00  7.54559697e+00
  3.24249268e-03  1.34995344e+00  7.78768281e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  7.41122827e+01
  0.00000000e+00  1.00000000e+02 -4.32204208e-01  1.58229293e+00]",27,randomly,0.108715,No collision,"[0.037542, 0.045888, 0.09227, 0.105912, 0.108037, 0.108511, 0.1086, 0.108589, 0.108606, 0.108648, 0.10867, 0.108715]",False,False,False,False,True
3,"[-6.59168243e+01  1.02041960e+01 -1.14531754e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  3.59867004e+02  2.20980576e+02
  1.11789294e-01  3.99711635e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  1.54865655e+00 -7.14909731e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.74798108e+01
  0.00000000e+00  1.00000000e+02 -9.05216656e+00  5.46627650e-01]",13,by model,0.354578,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.144608, 0.354578]",False,False,False,False,False
3,"[-8.94807129e+01  1.02042475e+01 -1.39138657e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  7.34300911e-02  2.23750671e+02
 -4.63733729e-03  5.10024919e+00  1.00000000e+00  6.02348464e+00
  0.00000000e+00  1.34820576e+00 -7.63568445e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.82903708e+01  1.00000000e+02  4.11000595e-01 -1.70322966e+00]",16,by model,1,2294eee2-1106-4f88-a347-29e6434e5447,"[0.432903, 1, 1, 0.439726, 0.401578, 0.344558, 0.26736, 0.177929, 0.092979, 0.091496, 0.055735, 0.138142]",False,False,False,False,False
