Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
2,"[ 7.16163177e+01 -3.37183285e+00 -3.91396103e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.88386989e-01  1.06754128e+02  3.59557159e+02  1.89216263e-02
  1.34799914e+00]",4,0.267,"[0.261831, 0.265058, 0.265528, 0.265043, 0.264218, 0.263801, 0.26364, 0.263572, 0.2642, 0.265739, 0.266634, 0.266532]",False
2,"[ 7.17005920e+01 -3.37388015e+00 -3.91220016e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  9.70505118e-01  1.07379837e+02  3.59531769e+02  1.13129755e-02
  7.03051027e+01]",15,0.272,"[0.266893, 0.267538, 0.26773, 0.268018, 0.270639, 0.271684, 0.271337, 0.270554, 0.270471, 0.270761, 0.270654, 0.270462]",False
2,"[ 7.17602234e+01 -3.37341189e+00 -3.90998116e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.16694140e+00  1.08008018e+02  3.59598480e+02  2.55150566e-03
  6.34246868e+01]",0,0.474,"[0.270367, 0.27205, 0.272603, 0.473954, 0.276191, 0.275255, 0.274317, 0.274055, 0.273906, 0.27387, 0.275207, 0.276495]",False
2,"[ 7.18194122e+01 -3.37461662e+00 -3.90884399e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  9.71324921e-01  1.08542099e+02  3.59690155e+02  9.29506539e-03
  1.34313774e+00]",34,0.485,"[0.476889, 0.479563, 0.278432, 0.278743, 0.278645, 0.278148, 0.483645, 0.484882, 0.484872, 0.282124, 0.281656, 0.281202]",False
2,"[ 7.18909988e+01 -3.37709880e+00 -3.90625687e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.21459436e+00  1.09375732e+02  3.59603424e+02  3.25713841e-03
  6.14489669e+01]",32,0.493,"[0.483066, 0.483682, 0.485134, 0.28317, 0.282666, 0.486416, 0.492537, 0.49186, 0.487321, 0.289487, 0.287884, 0.287374]",False
2,"[ 7.19598236e+01 -3.37802672e+00 -3.90496407e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  1.20368195e+00  1.09782173e+02  3.59649353e+02  3.69777296e-03
  6.60278719e+01]",39,1.0,"[0.287163, 0.999975, 0.2895, 0.289715, 0.289967, 0.290206, 0.290414, 0.290582, 0.290842, 0.503295, 0.295224, 0.294228]",False
2,"[ 7.20342484e+01 -3.38004780e+00 -3.90358582e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  1.07211816e+00  1.10480911e+02  3.59824463e+02  7.14614394e-03
  2.11695810e+01]",35,1.0,"[0.293428, 0.292876, 0.292665, 0.293588, 0.293284, 0.999975, 0.502462, 0.502869, 0.50374, 0.295857, 0.503997, 0.504101]",False
2,"[ 7.20762482e+01 -3.37974358e+00 -3.90183487e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  0.00000000e+00
  1.07189679e+00  1.10963432e+02  3.59743622e+02  8.83978164e-03
  1.34894696e+00]",31,1.0,"[0.999975, 0.508765, 0.297926, 0.296951, 0.296502, 0.504782, 0.999975, 0.505672, 0.50788, 0.50827, 0.508815, 0.310725]",False
2,"[ 7.21300049e+01 -3.38022757e+00 -3.90039825e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.05364120e+00  1.11447655e+02  3.59751221e+02  8.31530438e-03
  7.00025872e+01]",9,1.0,"[0.32013, 0.309194, 0.299717, 0.300483, 0.300157, 0.300195, 0.300308, 0.300688, 0.30065, 0.999976, 0.999976, 0.301109]",False
2,"[ 7.21786270e+01 -3.38193774e+00 -3.89832954e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.12295127e+00  1.12233604e+02  3.59673615e+02  4.56306185e-03
  6.99607317e+01]",0,0.514,"[0.301145, 0.301253, 0.301359, 0.301561, 0.30172, 0.301797, 0.301971, 0.302065, 0.302203, 0.513936, 0.30276, 0.301264]",False
2,"[ 7.22239151e+01 -3.38289428e+00 -3.89583359e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.33398831e+00  1.12953705e+02  3.59463257e+02  5.46429127e-03
  5.16714824e+01]",23,1.0,"[0.301879, 0.513463, 0.302678, 0.513693, 0.513879, 0.302532, 0.515315, 0.51504, 0.30283, 0.302253, 0.999976, 0.999976]",False
