Episode,State,Action,Collision_Probability,Collision_Probability_Per_StepDone
2,"[ 8.61742249e+01 -3.60953856e+00 -4.46991043e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  7.79445827e-01  1.02152817e+02  3.58957947e+02  6.10224180e-05]",2,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.61742249e+01 -3.60953856e+00 -4.46991043e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  7.79445410e-01  1.02152817e+02  3.58957947e+02  6.10518380e-05]",5,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.61742249e+01 -3.60953856e+00 -4.46991043e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01  1.00000000e+00
  7.79446006e-01  1.02152817e+02  3.58957947e+02  6.10501665e-05]",9,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
3,"[-38.60879517  -1.441185   -12.25593567   0.           0.
   0.          12.          -1.           1.28769219 105.0147934
 359.04925537   2.49812615]",7,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ -7.80278969  -1.9614346  -20.84784698   0.           0.5
   0.          12.           1.           0.24235961 106.08898926
   0.1932331    7.13894348]",48,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 32.60554886  -2.71903419 -30.80023193   0.           0.5
   0.          12.          -1.           0.8451069   99.19473267
 358.74206543   6.11898849]",5,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 75.55904388  -3.45978451 -42.13953018   1.           0.
   1.          12.           1.           0.88037205 101.98855591
 358.72576904   8.05918948]",13,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[114.41732788  -3.94951963 -51.47632599   1.           0.
   1.          14.           1.           0.36384216 101.78350067
 359.46264648  11.64114539]",10,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[170.30603027  -4.58163643 -64.79657745   0.           0.
   0.5         14.           1.           0.8366406  103.08617401
 359.9041748    4.04846876]",42,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[215.29084778  -5.26246357 -76.33514404   0.           0.
   0.5         14.          -1.           1.17446375 103.37949371
 359.91265869  10.65003909]",16,1.0,"[0, 0.236212, 0.058755, 0.530744, 1, 0.124856, 0.124691, 0.125255, 0.125299, 0.125337, 0.125337, 0.132506]",False
3,"[ 2.36161270e+02 -5.67575455e+00 -8.11992569e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.03110826e+00  1.12612320e+02  3.59674103e+02  5.89836902e-03]",47,0.135,"[0.132689, 0.13291, 0.133126, 0.133324, 0.133519, 0.133711, 0.133924, 0.134125, 0.134342, 0.134528, 0.13476, 0.134962]",False
