x,y,z,rx,ry,rz,rain,fog,wetness,timeofday,signal,speed,local_diff,local_angle,dis_diff,theta_diff,vel_diff,size_diff,mlp_eval,cost_eval,cruise_mlp_eval,junction_mlp_eval,cyclist_keep_lane_eval,lane_scanning_eval,pedestrian_interaction_eval,junction_map_eval,lane_aggregating_eval,semantic_lstm_eval,jointly_prediction_planning_eval,vectornet_eval,unknown,throttle,brake,steering_rate,steering_target,acceleration,gear,num_obs,num_npc,min_obs_dist,speed_min_obs_dist,vol_min_obs_dist,dist_to_max_speed_obs,probability
330.616302490234,35.2250480651855,269.017333984375,1.7294043302536,140.32063293457,359.524383544922,0,0,0,12,1,4.151668412140889,1.5873274435102107,0.6927812987147703,1.3122861320137036,6.360471435939047,0.9722259549418535,3.3184955913568417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.109348026503437,100.0,0.7646076092892162,-1.5164141325323992,1,1,1,7.38824878467439,0.9722258719650613,162.09614766454055,7.38824878467439,0
331.856201171875,35.167652130127,267.433868408203,1.6164927482605,142.200302124023,359.705444335938,0,0,0,12,1,3.8968268362797693,1.5336044204107406,0.6615109038971888,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.3225505980467,100.0,-9.80646023791975,-1.5428354645890436,1,1,1,8.037033671156728,1.1092132144810811,171.28261075932934,8.037033671156728,0
332.881805419922,35.1232566833496,265.967071533203,1.60260438919067,144.465881347656,359.36328125,0,0,0,12,1,3.266445321672603,1.4695717232530037,0.6227914678319624,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-7.557689808153073,-0.3524147075667776,1,1,1,8.765025994585157,2.565468627211602,179.01241348408394,8.765025994585157,0
333.726715087891,35.0959892272949,264.685333251953,0.816909372806549,145.997741699219,359.377746582031,0,0,0,12,1,2.811229273066554,1.3998421186469576,0.5963286420628845,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.53600431703621,100.0,-8.27697368968836,-1.5600773276691444,1,1,1,9.490992100624426,0.7319378246734773,179.0123840063804,9.490992100624426,0
334.376739501953,35.0775566101074,263.629486083984,0.455762416124344,147.477157592773,359.691528320313,0,0,0,12,1,2.1743538903212976,1.4778431199805644,0.5687691390738217,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.006738432675686,100.0,-11.239537266853034,-1.4739197769441912,1,1,1,10.684175326753891,0.8282416729340072,179.01299354549155,10.684175326753891,0
334.839416503906,35.0567016601563,262.815063476563,0.21249133348465,148.910430908203,359.554931640625,0,0,0,12,1,1.6009378727644716,1.4612860281242894,0.5441300306486117,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-13.684003821007293,-0.1927787541597083,1,1,1,11.442085065219,0.8156450780912964,168.4209897606277,11.442085065219,0
335.369445800781,35.0590171813965,261.791809082031,0.623860001564026,151.060546875,0.135817006230354,0,0,0,12,1,3.100875226421623,1.344753047796218,0.504457848583511,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.16274781091652,0.0,100.0,-13.881027893283367,0.7766185529245804,1,2,2,11.83205564413713,1.1196656353137804,149.92212400820148,19.14504544711857,0
336.102996826172,35.0298271179199,260.155609130859,0.849155902862549,155.085052490234,359.918029785156,0,0,0,12,0,4.1172716454086284,1.5444367101112357,0.43602910017211316,51.01288802241769,5.158606828142183,51.141362119316966,10.642181907732777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.09206488522099,100.0,-16.323787193560666,-1.056101709899447,1,2,2,12.895329185039502,1.3364820043426082,156.2606701989356,17.85018810133842,0
336.763214111328,35.0042495727539,258.255584716797,0.656224370002747,160.203826904297,359.661407470703,0,0,0,12,0,3.830874741920491,1.4212607571229732,0.34706675882965815,50.97500206273935,5.050216930500625,50.672997481672205,10.604397921404201,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,23.57531592175233,100.0,-18.720432857345752,-1.2722267237763618,1,2,2,14.27831269722913,4.034064434883909,168.97644795751873,14.27831269722913,0
337.200836181641,34.9842414855957,256.514495849609,0.549902379512787,164.87109375,359.629730224609,0,0,0,12,0,3.4454032405711854,1.5521957737141368,0.2665624367411194,1.628856735210113,1.5639305050416965,1.9113261706872557,1.8086956194252992,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,21.316408505296664,100.0,-21.94384663074085,-1.0684767654766998,1,2,2,15.038077717514332,4.834073495163764,18.386707852126662,15.038077717514332,0
337.447937011719,34.9716682434082,254.928771972656,0.503698348999023,169.620758056641,359.764251708984,0,0,0,12,0,2.9655103303594017,1.4047773209378978,0.18229593625135912,51.09360275104661,5.038705894490448,50.882743337981566,10.415455215520566,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-20.406653613916692,-0.044360429371812185,1,2,2,14.366598571901864,5.506292139748379,18.12449692318728,14.366598571901864,0
337.561706542969,34.9603271484375,253.510757446289,0.406016141176224,173.645645141602,359.850921630859,0,0,0,12,0,2.7372937186919413,1.3461257715229253,0.11158979564844233,15.617047459861775,3.8095605861063433,5.693169415261141,4.2384826014394905,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,16.161127347276334,100.0,-25.76656395188665,-0.6523375848895492,1,2,2,14.312711916622321,5.592087027983529,18.041829543257847,17.54039511148174,0
337.550354003906,34.9517822265625,252.217727661133,0.391938984394073,178.073638916016,359.973602294922,0,0,0,12,0,2.457672982869622,1.419847559951393,0.033794306474958465,51.10480191915605,5.004035907421098,50.79709546349772,10.43370324057928,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-23.143449846879683,-0.38061595386215985,1,2,2,14.789103015982056,5.599663749140768,18.429779254922078,20.29398017811681,0
337.441345214844,34.9464569091797,251.053344726563,0.320192217826843,182.458480834961,-0.00204816157929599,0,0,0,12,-1,2.2290942132486857,1.3911128276368099,-0.04292298779246445,51.18550414120629,5.019364787586667,51.0844642411642,10.604595432344064,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-26.82671000898624,-0.27957400089698825,1,2,2,15.747585126943749,5.599310313109921,18.473235061275172,15.747585126943749,0
337.248626708984,34.9416160583496,249.930633544922,0.119474574923515,186.736999511719,0.0623318329453468,0,0,0,12,-1,2.457557980028334,1.4699372393263086,-0.11755023067202147,51.18005733501384,5.005086311535408,50.864041560405525,10.46426143413686,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-21.819506713979944,-0.4823488333846456,1,2,2,16.983983411297956,5.599469362084507,18.402041622080663,16.983983411297956,0
336.994110107422,34.9390296936035,248.787017822266,0.0975612476468086,190.204116821289,0.0531979687511921,0,0,0,12,-1,2.227334537016722,1.3480554727178773,-0.1783369026000774,51.10884105828764,5.012561284575767,50.194741619840855,10.550071443928111,0,0,1,0,0,0,0,0,0,0,0,0,0,26.88424195109456,0.0,100.0,-16.29362571031003,0.026803608521332678,1,2,2,18.332679418088585,5.599399297929552,18.32550535064958,21.723417352215975,0
336.716125488281,34.9373474121094,247.733978271484,0.0391423031687737,192.805221557617,0.0330382138490677,0,0,0,12,-1,2.0680358835697974,1.3484191594729387,-0.22365465770991472,19.505529084021855,1.4842511097646707,4.090685912603867,4.290568434373015,0,0,1,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-16.150060132447194,0.1526471588070947,1,2,2,19.866848031204725,5.598741442153652,18.467899090578406,22.775339647285374,0
336.444610595703,34.937126159668,246.799865722656,0.0388377085328102,194.560134887695,0.00851447321474552,0,0,0,12,-1,1.8283422496811002,1.421751619899822,-0.2541439085830293,2.652504499948029,0.03698931238668024,0.3362735966686319,1.7030984600419972,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-16.516779662532674,-0.20497937205125227,1,2,2,21.566923489541555,5.59975605464194,18.455281852829927,418.71918096011774,0
336.169921875,34.9369850158691,245.992919921875,0.0366923399269581,196.583343505859,0.0330118350684643,0,0,0,12,-1,1.5874848896719043,1.348433373688742,-0.28960012608438135,51.075792848656754,5.02037769740285,50.20331168599479,10.785435797484755,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-18.147716119635568,-0.06809805219033384,1,3,3,9.333807400740431,0.8104370801168075,152.15690392198792,418.02311652243907,0
335.906494140625,34.9369659423828,245.309036254883,0.0356425344944,198.430313110352,0.0179865155369043,0,0,0,12,-1,1.3494832602758922,1.3889634885465314,-0.3217818196131696,14.914055013538336,0.2567842752155798,3.965217682755384,9.975208755082503,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,25.3675947751574,100.0,-23.89847438873034,-1.347666254007416,1,3,3,9.018845665740148,1.5056058720383731,153.52070867055295,417.40901722819126,0
335.668487548828,34.936939239502,244.77067565918,0.0410354994237423,200.32373046875,0.01659738086164,0,0,0,12,-1,1.0405341616385348,1.348405489041264,-0.3548039068567288,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1807685510786,0.0,100.0,-27.18601377986926,0.01277933654436103,1,3,3,9.04808994285937,2.056554207430787,150.35964966692293,416.90119563200324,0
335.466278076172,34.9369010925293,244.363677978516,0.0332049764692783,202.035446166992,0.00387028697878122,0,0,0,12,-1,0.7912510498204172,1.356339037642027,-0.38464692708821974,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-27.61627024342563,-0.2580084385223481,1,3,3,9.443648684451313,2.543039142202771,149.92193705041282,416.4994812714856,0
