x,y,z,rx,ry,rz,rain,fog,wetness,timeofday,signal,speed,local_diff,local_angle,dis_diff,theta_diff,vel_diff,size_diff,mlp_eval,cost_eval,cruise_mlp_eval,junction_mlp_eval,cyclist_keep_lane_eval,lane_scanning_eval,pedestrian_interaction_eval,junction_map_eval,lane_aggregating_eval,semantic_lstm_eval,jointly_prediction_planning_eval,vectornet_eval,unknown,throttle,brake,steering_rate,steering_target,acceleration,gear,num_obs,num_npc,min_obs_dist,speed_min_obs_dist,vol_min_obs_dist,dist_to_max_speed_obs
295.719757080078,36.7083168029785,310.147979736328,359.794097900391,127.983551025391,359.689300537109,0,0,0,14,1,7.502481033868217,1.7256843718291537,0.9075476083104732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-47.34153572878303,0.7312996604758631,1,0,0,100000,1000,1000,100000
297.964202880859,36.7220497131348,307.09033203125,359.794189453125,148.956069946289,1.237757563591,0,0,0,14,1,8.155650739558206,1.9089115751168677,0.5540984217658642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,38.54342864817673,0.6138286788914963,1,0,0,100000,1000,1000,100000
300.670745849609,36.708381652832,303.900726318359,0.494742691516876,132.797805786133,358.554718017578,0,0,0,14,1,8.654524227353852,1.775408963463352,0.8110834208465423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45751897007676,0.0,100.0,-25.19650621456774,0.5396718465481771,1,0,0,100000,1000,1000,100000
303.493927001953,36.6421318054199,300.626190185547,1.18024790287018,145.887542724609,1.60927164554596,0,0,0,14,1,8.742488274745543,1.6899359541013228,0.6036247671424891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,28.850138994529182,-0.37904147820286316,1,0,0,100000,1000,1000,100000
306.152954101563,36.5283966064453,297.377471923828,1.95896077156067,134.468109130859,358.815063476563,0,0,0,14,1,8.276903264447585,1.5007926897330894,0.7932776768618875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-41.449555931303166,0.07851508110307501,1,0,0,100000,1000,1000,100000
308.762786865234,36.3824577331543,294.311004638672,2.18123078346252,146.058837890625,1.69713866710663,0,0,0,14,1,8.047629150264108,1.8146524159890747,0.606124334910912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-9.155823817250695,0.18751684879802932,1,0,0,100000,1000,1000,100000
311.144897460938,36.2362213134766,291.215148925781,2.10734295845032,135.835586547852,358.658630371094,0,0,0,14,1,8.1684107181016,1.334806165640699,0.7769914680745394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.781443412533772,0.0,100.0,8.721114794876085,0.8063068684484647,1,0,0,100000,1000,1000,100000
313.675933837891,36.0991020202637,288.342681884766,2.0992169380188,144.905319213867,1.46528005599976,0,0,0,14,1,7.2490920295453956,1.6960533216371716,0.6211551840872404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.300351492790973,100.0,-20.397023792107444,-1.0383395645651625,1,0,0,100000,1000,1000,100000
315.802917480469,35.9772987365723,285.562622070313,2.04988098144531,136.576370239258,358.737701416016,0,0,0,14,1,7.060758911720201,1.6842356507344711,0.7485155688758485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.363647402235365,0.0,100.0,19.94749521917619,0.9272735551676525,1,0,0,100000,1000,1000,100000
317.919860839844,35.862922668457,283.082794189453,2.12104988098145,145.392272949219,1.49225747585297,0,0,0,14,1,6.142290806868999,1.457212683695369,0.60158302774376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-4.066609522043718,-0.3054739689609408,1,0,0,100000,1000,1000,100000
