Episode,Step,State,Action,Reward,Collision Probability,Collision Probability List,Action_Description,Done
1,12,"[-2.09660629e+02  1.02044744e+01 -1.76301254e+02  0.00000000e+00
  1.00000000e+01  1.00000000e+00 -1.46103476e-03  1.70243622e+02
 -1.07270280e-05  1.22364070e-01  1.00000000e+01  4.66319020e+01
  2.85975110e-01  1.34865340e+00  1.70284229e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  4.61584778e+01
  0.00000000e+00  1.00000000e+02  1.14434464e-01  2.63456264e-01]",113,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A pink Sedan is driving from the opposite direction (near) and maintaining lane.,True
2,0,"[ -65.54989624   10.20431232 -112.56907654    0.           10.
   -1.          359.8598938   228.39938354  359.96829224    2.9211932
    0.          100.          100.            1.37871464   -0.84460389
    0.            0.            0.            0.           28.34462955
    0.          100.            5.24332716    1.02524136]",35,0.635992,0.635992,"[0, 0, 0, 0, 0.635992, 0.213946, 0, 0, 0, 0, 0, 0]",A skyblue Hatchback is driving from the opposite direction (far) and maintaining lane.,False
2,1,"[-9.69472580e+01  1.02034197e+01 -1.46151657e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  4.05108519e-02  2.22568329e+02
  2.22837925e-02  8.83504603e+00  1.00000000e+00  1.00000000e+02
  1.00000000e+02  1.34840233e+00 -7.43060200e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.77613960e+01  1.00000000e+02 -4.55052846e+00 -2.94316381e+00]",123,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,False
2,2,"[-1.21001190e+02  1.02040968e+01 -1.52448822e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59981018e+02  3.07037354e+02
  8.69633406e-02  4.94719189e+00  2.00000000e+00  5.96830542e+01
  9.99982806e+00  1.34876840e+00  9.23978201e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  7.44618535e+01
  0.00000000e+00  1.00000000e+02 -3.36143014e+00  3.20644536e+00]",45,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white SchoolBus is crossing the road from right to left (far) and switching lane.,False
2,3,"[-1.60836090e+02  1.02030535e+01 -1.14803040e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  1.87884122e-02  3.13775146e+02
  3.59927063e+02  9.74768996e+00  3.00000000e+00  3.29349603e+01
  0.00000000e+00  1.34853136e+00  8.07106571e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  0.00000000e+00
  5.13710670e+01  1.00000000e+02 -4.07270002e+00 -4.82017578e+00]",132,0.491593,0.491593,"[0, 0, 0, 0.491593, 0.191026, 0, 0, 0, 0, 0, 0, 0]",A pink SUV is crossing the road from left to right (far) and switching lane.,False
2,4,"[-1.74707428e+02  1.02044849e+01 -1.01155083e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.60197882e-05  3.14375183e+02
  9.16286535e-06  2.40729342e-05  4.00000000e+00  1.34759074e+01
  0.00000000e+00  1.34865532e+00  7.96306736e-01  4.60305131e+00
  6.56649134e-02  0.00000000e+00  9.03370042e+00  0.00000000e+00
  6.99966097e+01  1.00000000e+02 -8.08925037e-01 -3.00000000e+00]",28,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,False
2,5,"[-1.74707428e+02  1.02044849e+01 -1.01155083e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  4.25834514e-05  3.14375183e+02
  1.04543087e-05  2.01757698e-05  5.00000000e+00  1.34759074e+01
  0.00000000e+00  1.34865532e+00  7.96306736e-01  1.01774870e+02
  4.72849908e+00  9.98042024e+00  4.84272196e+00  0.00000000e+00
  6.99971586e+01  1.00000000e+02 -8.08925037e-01 -3.00000000e+00]",115,-1,0.141906,"[0, 0.141906, 0, 0.0061, 0, 0, 0, 0, 0, 0, 0, 0]",A red SchoolBus is driving from the opposite direction (near) and maintaining lane.,False
2,6,"[-1.75483643e+02  1.02044849e+01 -1.00391342e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.49914392e-05  3.14466309e+02
  5.59934278e-06  2.81855579e-05  6.00000000e+00  1.23870681e+01
  0.00000000e+00  1.34864974e+00  7.94710641e-01  4.59765748e+00
  4.59423325e-02  0.00000000e+00  9.08645733e+00  0.00000000e+00
  4.86310254e+01  1.00000000e+02 -6.08186006e-01 -6.91121504e-02]",134,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A yellow Sedan is crossing the road from left to right (far) and maintaining lane.,False
2,7,"[-1.82256058e+02  1.02041731e+01 -9.36914215e+01  0.00000000e+00
  1.00000000e+01  1.00000000e+00  3.59926880e+02  3.14813019e+02
  4.02559619e-03  5.87094940e+00  7.00000000e+00  1.46208567e+01
  5.58576439e+00  1.34908924e+00  7.88633234e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  2.09338223e+01
  0.00000000e+00  1.00000000e+02 -2.97415676e-01  6.06029337e-01]",1,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Light rain,False
2,8,"[-1.97759338e+02  1.02041960e+01 -7.82293472e+01  2.02000003e+01
  1.00000000e+01  1.00000000e+00  3.59817047e+02  3.14623322e+02
  3.59989441e+02  6.12904674e+00  7.00000000e+00  1.77762488e+01
  5.58839479e+00  1.34976452e+00  7.92016985e-01  2.28669838e+01
  1.54409792e-01  3.98883746e+00  5.03061142e+00  3.83162939e+01
  0.00000000e+00  1.00000000e+02  4.54190510e-01  1.42852935e+00]",141,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A pink BoxTruck is crossing the road from left to right (near) and switching lane.,False
